date;hosp_bur;hosp_irk
27.03.2020;8;
28.03.2020;8;
29.03.2020;8;
30.03.2020;8;
31.03.2020;8;
01.04.2020;8;
02.04.2020;9;
03.04.2020;9;
04.04.2020;9;
05.04.2020;35;
06.04.2020;43;
07.04.2020;48;
08.04.2020;49;
09.04.2020;48;
10.04.2020;47;22
11.04.2020;58;22
12.04.2020;60;22
13.04.2020;68;33
14.04.2020;69;36
15.04.2020;75;41
16.04.2020;75;43
17.04.2020;76;45
18.04.2020;79;51
19.04.2020;81;54
20.04.2020;84;56
21.04.2020;85;59
22.04.2020;111;56
23.04.2020;110;57
24.04.2020;111;58
25.04.2020;116;57
26.04.2020;116;65
27.04.2020;143;63
28.04.2020;157;66
29.04.2020;177;79
30.04.2020;201;85
01.05.2020;216;92
02.05.2020;219;108
03.05.2020;223;127
04.05.2020;221;132
05.05.2020;223;159
06.05.2020;241;163
07.05.2020;244;174
08.05.2020;256;188
09.05.2020;259;205
10.05.2020;287;227
11.05.2020;290;243
12.05.2020;298;254
13.05.2020;309;274
14.05.2020;313;363
15.05.2020;323;373
16.05.2020;342;382
17.05.2020;356;446
18.05.2020;421;540
19.05.2020;433;572
20.05.2020;;597
21.05.2020;461;671
22.05.2020;462;738
23.05.2020;469;842
24.05.2020;474;952
25.05.2020;527;1050
26.05.2020;527;1101
27.05.2020;539;1142
28.05.2020;531;1183
29.05.2020;523;1333
30.05.2020;506;1409
31.05.2020;514;1615
01.06.2020;531;1803
02.06.2020;498;1854
03.06.2020;485;1925
04.06.2020;462;1949
05.06.2020;476;1982
06.06.2020;476;1985
07.06.2020;489;2033
08.06.2020;500;2223
09.06.2020;498;2325
10.06.2020;508;2493
11.06.2020;529;2668
12.06.2020;528;2804
13.06.2020;507;2996
14.06.2020;520;3079
15.06.2020;519;3330
16.06.2020;508;3392
17.06.2020;493;3425
18.06.2020;500;3416
19.06.2020;526;3429
20.06.2020;548;3482
21.06.2020;545;3560
22.06.2020;549;3638
23.06.2020;529;3656
24.06.2020;505;3717
25.06.2020;523;3794
26.06.2020;531;3898
27.06.2020;514;3994
28.06.2020;;4111
29.06.2020;522;4298
30.06.2020;520;4385
01.07.2020;508;1572
02.07.2020;487;1572
03.07.2020;469;1524
04.07.2020;465;1566
05.07.2020;456;1559
06.07.2020;455;1551
07.07.2020;444;1487
08.07.2020;440;1483
09.07.2020;429;1458
10.07.2020;420;1423
11.07.2020;413;1443
12.07.2020;427;1427
13.07.2020;427;1484
14.07.2020;397;1436
15.07.2020;389;1384
16.07.2020;366;1284
17.07.2020;357;1289
18.07.2020;361;1256
19.07.2020;362;
20.07.2020;357;1215
21.07.2020;357;1108
22.07.2020;348;1140
23.07.2020;350;1037
24.07.2020;341;981
25.07.2020;338;972
26.07.2020;335;972
27.07.2020;329;976
28.07.2020;318;871
29.07.2020;305;853
30.07.2020;319;853
31.07.2020;;801
01.08.2020;306;819
02.08.2020;306;819
03.08.2020;313;842
04.08.2020;312;853
05.08.2020;303;818
06.08.2020;308;780
07.08.2020;314;802
08.08.2020;310;801
09.08.2020;312;791
10.08.2020;321;818
11.08.2020;313;787
12.08.2020;295;744
13.08.2020;300;744
14.08.2020;293;747
15.08.2020;310;756
16.08.2020;322;766
17.08.2020;320;760
18.08.2020;322;736
19.08.2020;315;735
20.08.2020;314;735
21.08.2020;314;735
22.08.2020;332;
23.08.2020;332;676
24.08.2020;371;685
25.08.2020;370;675
26.08.2020;376;638
27.08.2020;404;618
28.08.2020;423;608
29.08.2020;479;602
30.08.2020;464;
31.08.2020;479;619
01.09.2020;493;585
02.09.2020;498;556
03.09.2020;493;
04.09.2020;491;596
05.09.2020;501;592
06.09.2020;501;616
07.09.2020;522;625
08.09.2020;498;633
09.09.2020;475;630
10.09.2020;457;630
11.09.2020;439;628
12.09.2020;427;626
13.09.2020;432;665
14.09.2020;438;692
15.09.2020;394;643
16.09.2020;391;639
17.09.2020;407;665
18.09.2020;414;697
